date,source,position,tour,provider
2026-07-25,guruwalk,3,Paris Time Machine: The Hidden Gems of the City,Quentin & Co Walking Tours
2026-07-26,freetour,1,"Scandals, Gossips & Histoire: Tales at Père Lachaise Cemetery FreeTour",Princeformatif Tours
2026-07-26,freetour,2,The Original Free Tour of Paris,SANDEMANs Tours - Paris
2026-07-26,freetour,3,Essential Paris City Center Tour,StellarTours
2026-07-26,guruwalk,1,Essential Paris City Center Tour,StellarTours
2026-07-26,guruwalk,2,Paris Time Machine: The Hidden Gems of the City,Quentin & Co Walking Tours
2026-07-26,guruwalk,3,"Paris: Dark History, Ghosts and Legends Walking Tour",Denise
2026-07-28,freetour,1,The Original Free Tour of Paris,SANDEMANs Tours - Paris
2026-07-28,freetour,2,"Scandals, Gossips & Histoire: Tales at Père Lachaise Cemetery FreeTour",Princeformatif Tours
2026-07-28,freetour,3,Essential Paris City Center Tour,StellarTours
2026-07-28,guruwalk,1,Essential Paris City Center Tour,StellarTours
2026-07-28,guruwalk,2,The village of Montmartre without the crowds,Charing Cross Tours
2026-07-28,guruwalk,3,Paris Time Machine: The Hidden Gems of the City,Quentin & Co Walking Tours
2026-07-29,freetour,1,Île de la Cité & Notre-Dame: The Birthplace of Paris Free Tour,Mori Tours
2026-07-29,freetour,2,"Scandals, Gossips & Histoire: Tales at Père Lachaise Cemetery FreeTour",Princeformatif Tours
2026-07-29,freetour,3,The Original Free Tour of Paris,SANDEMANs Tours - Paris
2026-07-29,guruwalk,1,Essential Paris City Center Tour,StellarTours
2026-07-29,guruwalk,2,The village of Montmartre without the crowds,Charing Cross Tours
2026-07-29,guruwalk,3,Paris Time Machine: The Hidden Gems of the City,Quentin & Co Walking Tours
2026-07-30,freetour,1,Île de la Cité & Notre-Dame: The Birthplace of Paris Free Tour,Mori Tours
2026-07-30,freetour,2,"Scandals, Gossips & Histoire: Tales at Père Lachaise Cemetery FreeTour",Princeformatif Tours
2026-07-30,freetour,3,Essential Paris City Center Tour,StellarTours
2026-07-30,guruwalk,1,Essential Paris City Center Tour,StellarTours
2026-07-30,guruwalk,2,The village of Montmartre without the crowds,Charing Cross Tours
2026-07-30,guruwalk,3,Paris Time Machine: The Hidden Gems of the City,Quentin & Co Walking Tours
2026-07-31,freetour,1,"Scandals, Gossips & Histoire: Tales at Père Lachaise Cemetery FreeTour",Princeformatif Tours
2026-07-31,freetour,2,Île de la Cité & Notre-Dame: The Birthplace of Paris Free Tour,Mori Tours
2026-07-31,freetour,3,Essential Paris City Center Tour,StellarTours
2026-07-31,guruwalk,1,Essential Paris City Center Tour,StellarTours
2026-07-31,guruwalk,2,The village of Montmartre without the crowds,Charing Cross Tours
2026-07-31,guruwalk,3,"Hidden Stories: Eiffel Tower, Champs Élysées & Monuments Tour",Prince
2026-08-01,freetour,1,"Scandals, Gossips & Histoire: Tales at Père Lachaise Cemetery FreeTour",Princeformatif Tours
2026-08-01,freetour,2,Essential Paris City Center Tour,StellarTours
2026-08-01,freetour,3,Paris Time Machine : Hidden Gems of the City Free Tour,Quentin & Co Tours
2026-08-01,guruwalk,1,Essential Paris City Center Tour,StellarTours
2026-08-01,guruwalk,2,The village of Montmartre without the crowds,Charing Cross Tours
2026-08-01,guruwalk,3,"Le Marais without the crowds, the beating heart of Paris",Charing Cross Tours
2026-08-02,freetour,1,"Scandals, Gossips & Histoire: Tales at Père Lachaise Cemetery FreeTour",Princeformatif Tours
2026-08-02,freetour,2,Paris Time Machine : Hidden Gems of the City Free Tour,Quentin & Co Tours
2026-08-02,freetour,3,Essential Paris City Center Tour,StellarTours
2026-08-02,guruwalk,1,The village of Montmartre without the crowds,Charing Cross Tours
2026-08-02,guruwalk,2,Essential Paris City Center Tour,StellarTours
2026-08-02,guruwalk,3,Paris Time Machine: The Hidden Gems of the City,Quentin & Co Walking Tours
2026-08-03,freetour,1,"Scandals, Gossips & Histoire: Tales at Père Lachaise Cemetery FreeTour",Princeformatif Tours
2026-08-03,freetour,2,Essential Paris City Center Tour,StellarTours
2026-08-03,freetour,3,Paris Time Machine : Hidden Gems of the City Free Tour,Quentin & Co Tours
2026-08-03,guruwalk,1,The village of Montmartre without the crowds,Charing Cross Tours
2026-08-03,guruwalk,2,Essential Paris City Center Tour,StellarTours
2026-08-03,guruwalk,3,The Majestic Latin Quarter Tour,StellarTours
2026-08-04,freetour,1,"Scandals, Gossips & Histoire: Tales at Père Lachaise Cemetery FreeTour",Princeformatif Tours
2026-08-04,freetour,2,Essential Paris City Center Tour,StellarTours
2026-08-04,freetour,3,Paris Time Machine : Hidden Gems of the City Free Tour,Quentin & Co Tours
2026-08-04,guruwalk,1,The village of Montmartre without the crowds,Charing Cross Tours
2026-08-04,guruwalk,2,The Majestic Latin Quarter Tour,StellarTours
2026-08-04,guruwalk,3,Essential Paris City Center Tour,StellarTours
2026-08-05,freetour,1,"Scandals, Gossips & Histoire: Tales at Père Lachaise Cemetery FreeTour",Princeformatif Tours
2026-08-05,freetour,2,Essential Paris City Center Tour,StellarTours
2026-08-05,freetour,3,Paris Time Machine : Hidden Gems of the City Free Tour,Quentin & Co Tours
2026-08-05,guruwalk,1,The village of Montmartre without the crowds,Charing Cross Tours
2026-08-05,guruwalk,2,Essential Paris City Center Tour,StellarTours
2026-08-05,guruwalk,3,The Majestic Latin Quarter Tour,StellarTours
2026-08-06,freetour,1,"Scandals, Gossips & Histoire: Tales at Père Lachaise Cemetery FreeTour",Princeformatif Tours
2026-08-06,freetour,2,Essential Paris City Center Tour,StellarTours
2026-08-06,freetour,3,The Original Free Tour of Paris,SANDEMANs Tours - Paris
